viewpoint,occlusion
theta000_phi000,0.000000
theta000_phi020,0.000000
theta000_phi040,0.000000
theta000_phi060,0.000000
theta000_phi080,0.000000
theta000_phi100,0.000000
theta000_phi120,0.000000
theta000_phi140,0.000000
theta000_phi160,0.000000
theta000_phi180,0.000000
theta000_phi200,0.000000
theta000_phi220,0.000000
theta000_phi240,0.000000
theta000_phi260,0.000000
theta000_phi280,0.000000
theta000_phi300,0.000000
theta000_phi320,0.000000
theta000_phi340,0.000000
theta010_phi000,0.000000
theta010_phi020,0.000000
theta010_phi040,0.000000
theta010_phi060,0.000000
theta010_phi080,0.000000
theta010_phi100,0.000000
theta010_phi120,0.000000
theta010_phi140,0.000000
theta010_phi160,0.000000
theta010_phi180,0.000000
theta010_phi200,0.000000
theta010_phi220,0.000000
theta010_phi240,0.000000
theta010_phi260,0.000000
theta010_phi280,0.000000
theta010_phi300,0.000000
theta010_phi320,0.000000
theta010_phi340,0.000000
theta020_phi000,0.000000
theta020_phi020,0.000000
theta020_phi040,0.000000
theta020_phi060,0.000000
theta020_phi080,0.000000
theta020_phi100,0.000000
theta020_phi120,0.000000
theta020_phi140,0.000000
theta020_phi160,0.000000
theta020_phi180,0.000000
theta020_phi200,0.000000
theta020_phi220,0.000000
theta020_phi240,0.000000
theta020_phi260,0.000000
theta020_phi280,0.000000
theta020_phi300,0.000000
theta020_phi320,0.000000
theta020_phi340,0.000000
theta030_phi000,0.000000
theta030_phi020,0.000000
theta030_phi040,0.000000
theta030_phi060,0.000000
theta030_phi080,0.000000
theta030_phi100,0.000000
theta030_phi120,0.000000
theta030_phi140,0.000000
theta030_phi160,0.000000
theta030_phi180,0.000000
theta030_phi200,0.000000
theta030_phi220,0.000000
theta030_phi240,0.000000
theta030_phi260,0.000000
theta030_phi280,0.000000
theta030_phi300,0.000000
theta030_phi320,0.000000
theta030_phi340,0.000000
theta040_phi000,0.000000
theta040_phi020,0.000000
theta040_phi040,0.000000
theta040_phi060,0.000000
theta040_phi080,0.000000
theta040_phi100,0.000000
theta040_phi120,0.000000
theta040_phi140,0.000000
theta040_phi160,1.942857
theta040_phi180,1.004425
theta040_phi200,0.000000
theta040_phi220,0.000000
theta040_phi240,0.000000
theta040_phi260,0.000000
theta040_phi280,0.000000
theta040_phi300,0.000000
theta040_phi320,0.000000
theta040_phi340,0.000000
theta050_phi000,0.143076
theta050_phi020,0.000000
theta050_phi040,0.000000
theta050_phi060,0.000000
theta050_phi080,0.000000
theta050_phi100,0.000000
theta050_phi120,0.000000
theta050_phi140,1.515972
theta050_phi160,7.812988
theta050_phi180,3.387471
theta050_phi200,0.000000
theta050_phi220,0.000000
theta050_phi240,1.552982
theta050_phi260,0.000000
theta050_phi280,0.000000
theta050_phi300,0.000000
theta050_phi320,0.000000
theta050_phi340,0.000000
theta060_phi000,5.666667
theta060_phi020,2.917585
theta060_phi040,0.000000
theta060_phi060,0.000000
theta060_phi080,0.000000
theta060_phi100,0.000000
theta060_phi120,0.000000
theta060_phi140,3.479290
theta060_phi160,10.840361
theta060_phi180,9.274225
theta060_phi200,0.474708
theta060_phi220,0.877390
theta060_phi240,16.551724
theta060_phi260,0.000000
theta060_phi280,0.000000
theta060_phi300,0.280648
theta060_phi320,0.498960
theta060_phi340,2.624390
theta070_phi000,14.763629
theta070_phi020,10.733614
theta070_phi040,0.290557
theta070_phi060,0.005546
theta070_phi080,0.239973
theta070_phi100,7.229964
theta070_phi120,9.078772
theta070_phi140,5.772069
theta070_phi160,13.417102
theta070_phi180,14.394351
theta070_phi200,9.936655
theta070_phi220,15.238207
theta070_phi240,19.204446
theta070_phi260,0.000000
theta070_phi280,0.228560
theta070_phi300,1.835306
theta070_phi320,1.419693
theta070_phi340,7.664894
theta080_phi000,17.117993
theta080_phi020,20.892051
theta080_phi040,4.973887
theta080_phi060,6.016261
theta080_phi080,22.766874
theta080_phi100,25.333333
theta080_phi120,18.352571
theta080_phi140,8.718881
theta080_phi160,12.705662
theta080_phi180,14.262102
theta080_phi200,17.109055
theta080_phi220,30.446173
theta080_phi240,25.503263
theta080_phi260,0.019034
theta080_phi280,2.315042
theta080_phi300,4.188515
theta080_phi320,2.552048
theta080_phi340,8.309353
theta090_phi000,25.315222
theta090_phi020,29.931251
theta090_phi040,11.767387
theta090_phi060,12.172248
theta090_phi080,23.983980
theta090_phi100,28.723595
theta090_phi120,20.833249
theta090_phi140,20.896052
theta090_phi160,21.182530
theta090_phi180,22.929845
theta090_phi200,20.359629
theta090_phi220,40.000000
theta090_phi240,50.607266
theta090_phi260,24.819807
theta090_phi280,29.683446
theta090_phi300,33.828297
theta090_phi320,26.949970
theta090_phi340,21.279729
full_scene,5.050804
