level,theta,phi,obj_id,filename,occlusion_pct,view_avg_pct,view_std_pct
object,0,0,1,theta000_phi000_obj001_color.png,0.0,0.0,0.0
object,0,0,2,theta000_phi000_obj002_color.png,0.0,0.0,0.0
object,0,0,3,theta000_phi000_obj003_color.png,0.0,0.0,0.0
object,0,0,4,theta000_phi000_obj004_color.png,0.0,0.0,0.0
object,0,0,5,theta000_phi000_obj005_color.png,0.0,0.0,0.0
object,0,20,1,theta000_phi020_obj001_color.png,0.0,0.0,0.0
object,0,20,2,theta000_phi020_obj002_color.png,0.0,0.0,0.0
object,0,20,3,theta000_phi020_obj003_color.png,0.0,0.0,0.0
object,0,20,4,theta000_phi020_obj004_color.png,0.0,0.0,0.0
object,0,20,5,theta000_phi020_obj005_color.png,0.0,0.0,0.0
object,0,40,1,theta000_phi040_obj001_color.png,0.0,0.0,0.0
object,0,40,2,theta000_phi040_obj002_color.png,0.0,0.0,0.0
object,0,40,3,theta000_phi040_obj003_color.png,0.0,0.0,0.0
object,0,40,4,theta000_phi040_obj004_color.png,0.0,0.0,0.0
object,0,40,5,theta000_phi040_obj005_color.png,0.0,0.0,0.0
object,0,60,1,theta000_phi060_obj001_color.png,0.0,0.0,0.0
object,0,60,2,theta000_phi060_obj002_color.png,0.0,0.0,0.0
object,0,60,3,theta000_phi060_obj003_color.png,0.0,0.0,0.0
object,0,60,4,theta000_phi060_obj004_color.png,0.0,0.0,0.0
object,0,60,5,theta000_phi060_obj005_color.png,0.0,0.0,0.0
object,0,80,1,theta000_phi080_obj001_color.png,0.0,0.0,0.0
object,0,80,2,theta000_phi080_obj002_color.png,0.0,0.0,0.0
object,0,80,3,theta000_phi080_obj003_color.png,0.0,0.0,0.0
object,0,80,4,theta000_phi080_obj004_color.png,0.0,0.0,0.0
object,0,80,5,theta000_phi080_obj005_color.png,0.0,0.0,0.0
object,0,100,1,theta000_phi100_obj001_color.png,0.0,0.0,0.0
object,0,100,2,theta000_phi100_obj002_color.png,0.0,0.0,0.0
object,0,100,3,theta000_phi100_obj003_color.png,0.0,0.0,0.0
object,0,100,4,theta000_phi100_obj004_color.png,0.0,0.0,0.0
