source_obj,source_idx,distance_px
#4f5f83,0,30.676
#4f5f83,0,31.321
#4f5f83,0,38.210
#4f5f83,0,39.319
#4f5f83,0,52.811
#4f5f83,0,65.307
#4f5f83,0,79.057
#4f5f83,0,93.622
#4f5f83,0,107.205
#4f5f83,0,121.631
#4f5f83,0,136.473
#4f5f83,0,140.032
#4f5f83,0,152.003
#4f5f83,0,163.306
#6a47ae,1,88.527
#6a47ae,1,77.233
#6a47ae,1,51.923
#6a47ae,1,69.116
#6a47ae,1,39.395
#6a47ae,1,58.310
#6a47ae,1,27.659
#6a47ae,1,55.444
#6a47ae,1,24.083
#6a47ae,1,34.015
#9ec3b5,2,30.594
#9ec3b5,2,30.414
#9ec3b5,2,32.894
#9ec3b5,2,37.336
#9ec3b5,2,46.098
#9ec3b5,2,58.412
#9ec3b5,2,75.928
#a57fa3,3,68.680
#a57fa3,3,53.488
#a57fa3,3,39.446
#a57fa3,3,27.659
#a57fa3,3,24.083
#a57fa3,3,92.849
#a57fa3,3,34.132
#a57fa3,3,31.321
#a57fa3,3,30.414
#a57fa3,3,48.826
#a57fa3,3,37.537
#dcd284,4,55.444
#dcd284,4,66.611
#dcd284,4,54.120
#dcd284,4,53.712
#dcd284,4,40.224
#dcd284,4,40.608
#dcd284,4,30.806
#dcd284,4,30.676

AVG_DISTANCE_PX,58.980
