source_obj,source_idx,distance_px
#4f5f83,0,30.083
#4f5f83,0,17.000
#4f5f83,0,10.000
#4f5f83,0,10.296
#6a47ae,1,128.062
#6a47ae,1,102.626
#6a47ae,1,91.837
#6a47ae,1,80.623
#6a47ae,1,74.000
#6a47ae,1,70.456
#6a47ae,1,69.462
#6a47ae,1,69.462
#6a47ae,1,68.469
#6a47ae,1,71.169
#6a47ae,1,71.176
#6a47ae,1,69.181
#6a47ae,1,69.181
#6a47ae,1,79.076
#9ec3b5,2,10.296
#9ec3b5,2,5.385
#9ec3b5,2,10.000
#9ec3b5,2,3.606
#a57fa3,3,10.000
#a57fa3,3,3.606
#a57fa3,3,10.296
#a57fa3,3,21.840
#a57fa3,3,3.606
#a57fa3,3,10.000
#a57fa3,3,45.188
#a57fa3,3,57.689

AVG_DISTANCE_PX,45.789
