source_obj,source_idx,distance_px
#4f5f83,0,33.541
#4f5f83,0,34.482
#4f5f83,0,35.171
#4f5f83,0,27.203
#4f5f83,0,20.616
#4f5f83,0,13.892
#4f5f83,0,10.630
#4f5f83,0,8.062
#6a47ae,1,18.358
#6a47ae,1,6.708
#6a47ae,1,11.045
#9ec3b5,2,50.090
#9ec3b5,2,33.541
#9ec3b5,2,8.544
#9ec3b5,2,8.062
#9ec3b5,2,35.355
#9ec3b5,2,9.849
#9ec3b5,2,34.928
#a57fa3,3,15.033
#a57fa3,3,8.062
#a57fa3,3,10.770
#a57fa3,3,33.242
#a57fa3,3,20.000
#dcd284,4,10.050
#dcd284,4,19.723
#dcd284,4,7.616
#dcd284,4,34.928
#dcd284,4,8.062
#dcd284,4,12.806
#dcd284,4,37.000
#dcd284,4,17.464
#dcd284,4,24.042
#dcd284,4,48.374
#dcd284,4,31.575
#dcd284,4,41.304
#dcd284,4,56.436
#dcd284,4,52.202
#dcd284,4,67.082

AVG_DISTANCE_PX,25.154
