source_obj,source_idx,distance_px
#4f5f83,0,73.790
#4f5f83,0,75.133
#4f5f83,0,70.342
#4f5f83,0,86.533
#4f5f83,0,82.873
#4f5f83,0,94.831
#4f5f83,0,107.517
#4f5f83,0,110.454
#4f5f83,0,115.070
#4f5f83,0,133.180
#4f5f83,0,121.495
#4f5f83,0,146.240
#4f5f83,0,128.316
#4f5f83,0,159.615
#4f5f83,0,137.295
#4f5f83,0,145.784
#4f5f83,0,158.773
#6a47ae,1,72.897
#6a47ae,1,91.263
#6a47ae,1,61.327
#6a47ae,1,78.746
#6a47ae,1,49.092
#6a47ae,1,70.093
#6a47ae,1,44.822
#6a47ae,1,43.417
#6a47ae,1,63.632
#6a47ae,1,51.624
#6a47ae,1,65.000
#9ec3b5,2,30.463
#9ec3b5,2,31.780
#9ec3b5,2,34.059
#9ec3b5,2,44.011
#9ec3b5,2,53.451
#a57fa3,3,71.784
#a57fa3,3,61.294
#a57fa3,3,52.802
#a57fa3,3,44.822
#a57fa3,3,43.417
#a57fa3,3,107.713
#a57fa3,3,94.069
#a57fa3,3,66.068
#a57fa3,3,51.614
#a57fa3,3,40.311
#a57fa3,3,33.061
#a57fa3,3,30.463
#dcd284,4,64.008
#dcd284,4,63.632
#dcd284,4,74.027
#dcd284,4,86.267
#dcd284,4,76.164
#dcd284,4,70.342
#dcd284,4,116.829
#dcd284,4,72.007
#dcd284,4,101.828
#dcd284,4,77.621
#dcd284,4,89.140

AVG_DISTANCE_PX,78.968
