source_obj,source_idx,distance_px
#4f5f83,0,84.758
#4f5f83,0,73.790
#4f5f83,0,70.264
#4f5f83,0,68.411
#4f5f83,0,57.983
#4f5f83,0,60.141
#4f5f83,0,67.030
#4f5f83,0,65.863
#4f5f83,0,63.977
#4f5f83,0,69.231
#4f5f83,0,64.031
#4f5f83,0,69.527
#6a47ae,1,61.131
#6a47ae,1,42.297
#6a47ae,1,32.062
#6a47ae,1,28.653
#6a47ae,1,29.000
#6a47ae,1,18.028
#6a47ae,1,16.643
#6a47ae,1,25.080
#6a47ae,1,38.471
#6a47ae,1,40.311
#6a47ae,1,41.012
#6a47ae,1,46.271
#6a47ae,1,55.731
#9ec3b5,2,33.242
#9ec3b5,2,28.460
#9ec3b5,2,26.249
#9ec3b5,2,25.962
#9ec3b5,2,67.720
#9ec3b5,2,51.264
#a57fa3,3,28.460
#a57fa3,3,26.249
#a57fa3,3,25.962
#a57fa3,3,41.049
#a57fa3,3,28.320
#a57fa3,3,40.311
#a57fa3,3,38.626
#a57fa3,3,42.544
#a57fa3,3,115.017
#a57fa3,3,51.196
#a57fa3,3,48.332
#a57fa3,3,66.408
#a57fa3,3,54.672
#a57fa3,3,78.854
#a57fa3,3,66.708
#a57fa3,3,78.492
#dcd284,4,28.653
#dcd284,4,38.210
#dcd284,4,34.234
#dcd284,4,26.306
#dcd284,4,16.643

AVG_DISTANCE_PX,48.035
