source_obj,source_idx,distance_px
#4f5f83,0,2.236
#4f5f83,0,2.236
#4f5f83,0,2.000
#4f5f83,0,1.000
#4f5f83,0,8.544
#4f5f83,0,29.206
#4f5f83,0,41.881
#4f5f83,0,55.946
#6a47ae,1,30.083
#6a47ae,1,14.765
#6a47ae,1,6.000
#6a47ae,1,24.839
#6a47ae,1,8.544
#6a47ae,1,18.974
#9ec3b5,2,11.180
#9ec3b5,2,27.893
#a57fa3,3,2.236
#a57fa3,3,2.236
#a57fa3,3,2.000
#a57fa3,3,11.180
#a57fa3,3,1.000
#a57fa3,3,5.099
#a57fa3,3,15.264
#a57fa3,3,23.022
#dcd284,4,29.428
#dcd284,4,24.839

AVG_DISTANCE_PX,15.447
