source_obj,source_idx,distance_px
#4f5f83,0,5.831
#4f5f83,0,5.657
#4f5f83,0,15.232
#4f5f83,0,27.659
#4f5f83,0,11.402
#4f5f83,0,55.154
#4f5f83,0,68.884
#4f5f83,0,97.098
#4f5f83,0,55.027
#6a47ae,1,82.219
#6a47ae,1,71.021
#6a47ae,1,47.011
#6a47ae,1,56.886
#6a47ae,1,8.944
#6a47ae,1,10.817
#9ec3b5,2,62.169
#9ec3b5,2,47.760
#9ec3b5,2,36.056
#9ec3b5,2,28.302
#9ec3b5,2,23.601
#a57fa3,3,8.944
#a57fa3,3,10.817
#a57fa3,3,20.881
#a57fa3,3,68.154
#a57fa3,3,27.019
#a57fa3,3,23.601
#a57fa3,3,32.650
#a57fa3,3,42.485
#a57fa3,3,54.120
#a57fa3,3,110.114
#a57fa3,3,125.016
#dcd284,4,26.306
#dcd284,4,12.806
#dcd284,4,54.231
#dcd284,4,5.657
#dcd284,4,11.402
#dcd284,4,21.840

AVG_DISTANCE_PX,39.805
