source_obj,source_idx,distance_px
#4f5f83,0,88.323
#4f5f83,0,88.685
#4f5f83,0,81.006
#4f5f83,0,86.954
#4f5f83,0,71.113
#4f5f83,0,84.386
#4f5f83,0,85.428
#4f5f83,0,73.980
#4f5f83,0,88.589
#4f5f83,0,83.522
#4f5f83,0,95.189
#4f5f83,0,97.514
#4f5f83,0,102.961
#4f5f83,0,110.064
#4f5f83,0,112.588
#4f5f83,0,123.491
#4f5f83,0,122.691
#4f5f83,0,138.293
#4f5f83,0,132.231
#6a47ae,1,82.000
#6a47ae,1,68.352
#6a47ae,1,59.682
#6a47ae,1,50.990
#6a47ae,1,45.277
#6a47ae,1,40.311
#6a47ae,1,42.059
#6a47ae,1,53.907
#6a47ae,1,57.035
#6a47ae,1,54.342
#9ec3b5,2,36.401
#9ec3b5,2,30.414
#9ec3b5,2,35.805
#9ec3b5,2,47.011
#a57fa3,3,60.407
#a57fa3,3,64.140
#a57fa3,3,52.000
#a57fa3,3,51.225
#a57fa3,3,44.721
#a57fa3,3,40.608
#a57fa3,3,40.311
#a57fa3,3,33.601
#a57fa3,3,30.414
#dcd284,4,54.342
#dcd284,4,55.317
#dcd284,4,63.008
#dcd284,4,72.007
#dcd284,4,71.113
#dcd284,4,77.058
#dcd284,4,84.528
#dcd284,4,95.509
#dcd284,4,109.385
#dcd284,4,124.338
#dcd284,4,139.542

AVG_DISTANCE_PX,74.230
