source_obj,source_idx,distance_px
#4f5f83,0,153.264
#4f5f83,0,143.031
#4f5f83,0,133.015
#4f5f83,0,124.197
#4f5f83,0,154.719
#4f5f83,0,114.158
#4f5f83,0,140.036
#4f5f83,0,105.546
#4f5f83,0,126.590
#4f5f83,0,99.624
#4f5f83,0,113.442
#4f5f83,0,94.810
#4f5f83,0,101.000
#4f5f83,0,94.626
#4f5f83,0,89.275
#4f5f83,0,88.888
#4f5f83,0,77.026
#4f5f83,0,76.118
#6a47ae,1,47.413
#6a47ae,1,40.719
#6a47ae,1,48.765
#6a47ae,1,58.796
#6a47ae,1,72.346
#6a47ae,1,42.107
#6a47ae,1,49.366
#6a47ae,1,74.733
#6a47ae,1,61.000
#6a47ae,1,96.177
#9ec3b5,2,28.160
#9ec3b5,2,44.045
#9ec3b5,2,31.828
#9ec3b5,2,22.136
#a57fa3,3,22.136
#a57fa3,3,30.414
#a57fa3,3,38.897
#a57fa3,3,51.313
#a57fa3,3,22.804
#a57fa3,3,93.776
#a57fa3,3,108.503
#a57fa3,3,40.719
#a57fa3,3,44.283
#a57fa3,3,71.449
#a57fa3,3,51.740
#a57fa3,3,59.816
#dcd284,4,79.310
#dcd284,4,76.118
#dcd284,4,80.523
#dcd284,4,87.321
#dcd284,4,79.006
#dcd284,4,98.615
#dcd284,4,88.284
#dcd284,4,111.252
#dcd284,4,125.419
#dcd284,4,86.035
#dcd284,4,74.733

AVG_DISTANCE_PX,79.444
