source_obj,source_idx,distance_px
#4f5f83,0,134.529
#4f5f83,0,124.016
#4f5f83,0,113.864
#4f5f83,0,104.890
#4f5f83,0,94.921
#4f5f83,0,86.279
#4f5f83,0,78.492
#4f5f83,0,71.847
#4f5f83,0,66.851
#4f5f83,0,76.400
#4f5f83,0,130.599
#4f5f83,0,117.414
#4f5f83,0,80.262
#4f5f83,0,104.139
#4f5f83,0,91.935
#4f5f83,0,78.873
#6a47ae,1,33.302
#6a47ae,1,45.486
#6a47ae,1,33.422
#6a47ae,1,24.839
#6a47ae,1,25.612
#6a47ae,1,30.000
#6a47ae,1,37.108
#6a47ae,1,48.270
#6a47ae,1,59.008
#6a47ae,1,72.346
#6a47ae,1,71.589
#6a47ae,1,84.309
#9ec3b5,2,50.000
#9ec3b5,2,33.838
#9ec3b5,2,92.195
#9ec3b5,2,22.672
#9ec3b5,2,28.636
#9ec3b5,2,42.048
#9ec3b5,2,55.902
#a57fa3,3,96.690
#a57fa3,3,92.396
#a57fa3,3,65.376
#a57fa3,3,52.038
#a57fa3,3,39.205
#a57fa3,3,27.459
#a57fa3,3,22.672
#a57fa3,3,48.703
#a57fa3,3,41.785
#a57fa3,3,30.594
#a57fa3,3,24.839
#a57fa3,3,25.612
#a57fa3,3,30.000
#dcd284,4,89.022
#dcd284,4,88.865
#dcd284,4,85.235
#dcd284,4,80.722
#dcd284,4,76.322
#dcd284,4,78.873
#dcd284,4,71.589
#dcd284,4,81.413
#dcd284,4,88.865
#dcd284,4,100.020
#dcd284,4,111.879
#dcd284,4,126.254

AVG_DISTANCE_PX,68.705
