source_obj,source_idx,distance_px
#4f5f83,0,13.038
#4f5f83,0,12.166
#4f5f83,0,18.682
#4f5f83,0,27.019
#4f5f83,0,39.395
#4f5f83,0,41.593
#4f5f83,0,46.141
#4f5f83,0,54.452
#4f5f83,0,61.620
#4f5f83,0,71.218
#4f5f83,0,80.000
#4f5f83,0,88.233
#4f5f83,0,95.692
#6a47ae,1,81.056
#6a47ae,1,69.642
#6a47ae,1,3.000
#6a47ae,1,4.472
#6a47ae,1,5.657
#9ec3b5,2,41.593
#9ec3b5,2,42.755
#9ec3b5,2,53.712
#9ec3b5,2,50.220
#9ec3b5,2,46.573
#9ec3b5,2,60.033
#9ec3b5,2,36.346
#9ec3b5,2,25.060
#9ec3b5,2,67.912
#9ec3b5,2,76.105
#9ec3b5,2,31.241
#9ec3b5,2,84.380
#a57fa3,3,17.804
#a57fa3,3,5.657
#a57fa3,3,59.076
#a57fa3,3,55.027
#a57fa3,3,31.064
#a57fa3,3,56.303
#a57fa3,3,54.148
#a57fa3,3,25.060
#a57fa3,3,35.228
#a57fa3,3,59.008
#a57fa3,3,72.339
#a57fa3,3,99.464
#dcd284,4,12.166
#dcd284,4,18.682
#dcd284,4,67.742
#dcd284,4,31.145
#dcd284,4,53.339
#dcd284,4,44.553

AVG_DISTANCE_PX,46.392
