source_obj,source_idx,distance_px
#4f5f83,0,64.413
#4f5f83,0,56.754
#4f5f83,0,28.443
#4f5f83,0,26.000
#4f5f83,0,32.558
#4f5f83,0,39.000
#4f5f83,0,32.000
#4f5f83,0,26.000
#6a47ae,1,121.314
#6a47ae,1,107.782
#6a47ae,1,97.862
#6a47ae,1,82.219
#6a47ae,1,69.311
#6a47ae,1,58.249
#6a47ae,1,49.396
#6a47ae,1,6.708
#6a47ae,1,1.000
#6a47ae,1,1.000
#6a47ae,1,1.414
#6a47ae,1,7.211
#9ec3b5,2,26.000
#9ec3b5,2,26.571
#9ec3b5,2,31.623
#9ec3b5,2,41.231
#9ec3b5,2,50.606
#9ec3b5,2,62.290
#9ec3b5,2,75.452
#9ec3b5,2,43.012
#9ec3b5,2,43.658
#a57fa3,3,7.280
#a57fa3,3,6.708
#a57fa3,3,26.000
#a57fa3,3,32.000
#a57fa3,3,1.000
#a57fa3,3,37.000
#a57fa3,3,1.000
#a57fa3,3,43.012
#a57fa3,3,51.430
#a57fa3,3,1.414
#a57fa3,3,65.513
#a57fa3,3,44.000
#a57fa3,3,7.211
#a57fa3,3,77.006
#a57fa3,3,73.055
#a57fa3,3,71.847
#a57fa3,3,70.859
#a57fa3,3,49.336
#a57fa3,3,59.540
#a57fa3,3,71.554
#a57fa3,3,83.762
#a57fa3,3,97.417
#a57fa3,3,110.752
#dcd284,4,71.063
#dcd284,4,70.029
#dcd284,4,61.000
#dcd284,4,55.036
#dcd284,4,64.125
#dcd284,4,54.037
#dcd284,4,41.110
#dcd284,4,29.547

AVG_DISTANCE_PX,47.395
