source_obj,source_idx,distance_px
#4f5f83,0,89.694
#4f5f83,0,79.057
#4f5f83,0,69.771
#4f5f83,0,77.201
#4f5f83,0,107.336
#4f5f83,0,90.211
#4f5f83,0,111.946
#4f5f83,0,102.201
#4f5f83,0,117.593
#4f5f83,0,114.865
#4f5f83,0,124.652
#4f5f83,0,128.725
#4f5f83,0,131.015
#4f5f83,0,141.993
#4f5f83,0,139.943
#4f5f83,0,155.724
#4f5f83,0,151.159
#4f5f83,0,168.297
#4f5f83,0,164.347
#4f5f83,0,182.521
#6a47ae,1,78.390
#6a47ae,1,65.924
#6a47ae,1,54.589
#6a47ae,1,43.417
#6a47ae,1,101.119
#6a47ae,1,42.190
#6a47ae,1,86.470
#6a47ae,1,49.769
#6a47ae,1,78.058
#6a47ae,1,62.769
#6a47ae,1,65.924
#6a47ae,1,64.078
#9ec3b5,2,34.482
#9ec3b5,2,33.601
#9ec3b5,2,38.419
#9ec3b5,2,47.170
#9ec3b5,2,57.871
#a57fa3,3,79.120
#a57fa3,3,67.978
#a57fa3,3,56.321
#a57fa3,3,48.094
#a57fa3,3,97.329
#a57fa3,3,42.190
#a57fa3,3,83.024
#a57fa3,3,69.065
#a57fa3,3,44.598
#a57fa3,3,37.802
#a57fa3,3,33.601
#a57fa3,3,34.482
#dcd284,4,64.078
#dcd284,4,65.000
#dcd284,4,76.400
#dcd284,4,82.879
#dcd284,4,72.471
#dcd284,4,69.771
#dcd284,4,73.498
#dcd284,4,82.298
#dcd284,4,94.021
#dcd284,4,108.074

AVG_DISTANCE_PX,83.637
