source_obj,source_idx,distance_px
#4f5f83,0,154.674
#4f5f83,0,166.820
#4f5f83,0,142.271
#4f5f83,0,152.118
#4f5f83,0,132.004
#4f5f83,0,136.894
#4f5f83,0,122.450
#4f5f83,0,122.119
#4f5f83,0,115.953
#4f5f83,0,107.703
#4f5f83,0,111.400
#4f5f83,0,93.814
#4f5f83,0,106.738
#4f5f83,0,81.394
#4f5f83,0,73.110
#4f5f83,0,77.466
#6a47ae,1,67.897
#6a47ae,1,67.882
#6a47ae,1,61.074
#6a47ae,1,66.888
#6a47ae,1,50.488
#6a47ae,1,72.111
#6a47ae,1,46.957
#6a47ae,1,51.624
#6a47ae,1,61.847
#6a47ae,1,74.330
#9ec3b5,2,52.469
#9ec3b5,2,42.297
#9ec3b5,2,35.777
#9ec3b5,2,28.178
#a57fa3,3,35.000
#a57fa3,3,36.401
#a57fa3,3,28.178
#a57fa3,3,35.057
#a57fa3,3,45.011
#a57fa3,3,55.902
#a57fa3,3,68.964
#a57fa3,3,99.318
#a57fa3,3,46.957
#a57fa3,3,52.773
#a57fa3,3,60.208
#a57fa3,3,70.029
#a57fa3,3,81.615
#dcd284,4,107.280
#dcd284,4,93.048
#dcd284,4,82.765
#dcd284,4,74.813
#dcd284,4,73.110
#dcd284,4,78.294
#dcd284,4,77.801
#dcd284,4,66.888

AVG_DISTANCE_PX,79.336
