source_obj,source_idx,distance_px
#4f5f83,0,13.454
#4f5f83,0,11.402
#4f5f83,0,14.765
#4f5f83,0,6.403
#4f5f83,0,8.246
#4f5f83,0,12.042
#4f5f83,0,17.117
#4f5f83,0,21.378
#4f5f83,0,29.000
#4f5f83,0,41.183
#6a47ae,1,2.236
#6a47ae,1,1.000
#6a47ae,1,2.236
#6a47ae,1,2.236
#9ec3b5,2,24.352
#9ec3b5,2,24.352
#9ec3b5,2,8.246
#9ec3b5,2,26.683
#9ec3b5,2,16.279
#9ec3b5,2,12.042
#9ec3b5,2,17.117
#9ec3b5,2,21.378
#9ec3b5,2,21.633
#a57fa3,3,3.000
#a57fa3,3,2.236
#a57fa3,3,1.000
#a57fa3,3,4.000
#a57fa3,3,29.530
#a57fa3,3,16.125
#a57fa3,3,2.236
#a57fa3,3,2.236
#a57fa3,3,4.000
#a57fa3,3,16.279
#a57fa3,3,16.279
#dcd284,4,11.402
#dcd284,4,24.352
#dcd284,4,16.125
#dcd284,4,24.352
#dcd284,4,24.042

AVG_DISTANCE_PX,14.153
