source_obj,source_idx,distance_px
#4f5f83,0,164.906
#4f5f83,0,121.297
#4f5f83,0,106.569
#4f5f83,0,91.444
#4f5f83,0,76.538
#4f5f83,0,63.561
#4f5f83,0,56.303
#4f5f83,0,64.070
#4f5f83,0,125.936
#4f5f83,0,115.382
#4f5f83,0,74.277
#4f5f83,0,107.564
#4f5f83,0,101.203
#4f5f83,0,96.130
#4f5f83,0,94.530
#6a47ae,1,109.005
#6a47ae,1,78.102
#6a47ae,1,67.082
#6a47ae,1,62.241
#6a47ae,1,60.605
#6a47ae,1,61.221
#6a47ae,1,48.508
#6a47ae,1,78.492
#6a47ae,1,36.125
#6a47ae,1,30.887
#6a47ae,1,48.166
#6a47ae,1,35.000
#9ec3b5,2,66.408
#9ec3b5,2,54.745
#9ec3b5,2,46.174
#9ec3b5,2,39.115
#9ec3b5,2,34.886
#a57fa3,3,30.887
#a57fa3,3,31.305
#a57fa3,3,37.590
#a57fa3,3,45.706
#a57fa3,3,57.035
#a57fa3,3,41.629
#a57fa3,3,69.871
#a57fa3,3,34.886
#a57fa3,3,39.115
#a57fa3,3,47.297
#a57fa3,3,59.093
#a57fa3,3,72.471
#a57fa3,3,85.147
#a57fa3,3,100.722
#a57fa3,3,113.741
#a57fa3,3,127.883
#dcd284,4,63.781
#dcd284,4,56.613
#dcd284,4,56.303
#dcd284,4,64.281
#dcd284,4,77.026
#dcd284,4,60.605
#dcd284,4,71.505

AVG_DISTANCE_PX,70.199
