source_obj,source_idx,distance_px
#4f5f83,0,2.236
#4f5f83,0,1.414
#4f5f83,0,1.414
#4f5f83,0,1.000
#4f5f83,0,1.414
#6a47ae,1,45.100
#6a47ae,1,50.636
#6a47ae,1,31.064
#6a47ae,1,37.000
#6a47ae,1,1.414
#6a47ae,1,9.434
#6a47ae,1,2.828
#6a47ae,1,1.414
#6a47ae,1,3.162
#6a47ae,1,8.602
#9ec3b5,2,9.434
#9ec3b5,2,1.414
#9ec3b5,2,8.602
#a57fa3,3,1.414
#a57fa3,3,2.828
#a57fa3,3,3.162
#dcd284,4,4.123
#dcd284,4,2.236
#dcd284,4,1.414
#dcd284,4,1.414
#dcd284,4,1.000
#dcd284,4,1.414
#dcd284,4,13.601

AVG_DISTANCE_PX,8.935
