source_obj,source_idx,distance_px
#4f5f83,0,125.100
#4f5f83,0,111.879
#4f5f83,0,98.184
#4f5f83,0,85.053
#4f5f83,0,77.026
#4f5f83,0,76.295
#4f5f83,0,72.339
#4f5f83,0,62.201
#4f5f83,0,51.010
#4f5f83,0,52.631
#4f5f83,0,42.048
#4f5f83,0,40.522
#6a47ae,1,3.000
#6a47ae,1,7.810
#6a47ae,1,2.000
#6a47ae,1,2.828
#6a47ae,1,5.099
#6a47ae,1,7.000
#6a47ae,1,7.280
#6a47ae,1,19.416
#6a47ae,1,31.401
#6a47ae,1,92.000
#6a47ae,1,43.463
#6a47ae,1,91.411
#6a47ae,1,58.822
#6a47ae,1,99.624
#9ec3b5,2,21.954
#9ec3b5,2,37.696
#a57fa3,3,13.000
#a57fa3,3,6.000
#a57fa3,3,2.000
#a57fa3,3,7.211
#a57fa3,3,2.828
#a57fa3,3,5.099
#a57fa3,3,7.211
#a57fa3,3,7.071
#a57fa3,3,7.071
#dcd284,4,50.000
#dcd284,4,42.379
#dcd284,4,51.400
#dcd284,4,62.968
#dcd284,4,40.522
#dcd284,4,74.411
#dcd284,4,44.045
#dcd284,4,87.000
#dcd284,4,100.658
#dcd284,4,113.004
#dcd284,4,86.649

AVG_DISTANCE_PX,46.575
