source_obj,source_idx,distance_px
#4f5f83,0,18.385
#4f5f83,0,19.698
#4f5f83,0,27.857
#4f5f83,0,24.515
#4f5f83,0,19.698
#4f5f83,0,12.369
#4f5f83,0,12.166
#4f5f83,0,17.263
#4f5f83,0,23.537
#4f5f83,0,28.636
#4f5f83,0,32.985
#4f5f83,0,42.720
#6a47ae,1,85.913
#6a47ae,1,49.396
#6a47ae,1,44.102
#6a47ae,1,42.190
#6a47ae,1,40.262
#6a47ae,1,39.294
#6a47ae,1,42.202
#6a47ae,1,40.311
#6a47ae,1,41.231
#6a47ae,1,36.014
#9ec3b5,2,28.862
#9ec3b5,2,21.932
#9ec3b5,2,28.636
#9ec3b5,2,12.369
#9ec3b5,2,23.537
#9ec3b5,2,17.263
#9ec3b5,2,12.166
#a57fa3,3,42.720
#a57fa3,3,39.446
#a57fa3,3,40.262
#a57fa3,3,65.856
#a57fa3,3,54.203
#a57fa3,3,28.862
#a57fa3,3,45.188
#a57fa3,3,39.294
#a57fa3,3,31.623
#a57fa3,3,18.385
#dcd284,4,40.311
#dcd284,4,41.629
#dcd284,4,38.079
#dcd284,4,36.014
#dcd284,4,87.000
#dcd284,4,99.323
#dcd284,4,112.450
#dcd284,4,126.775
#dcd284,4,139.904

AVG_DISTANCE_PX,41.934
