source_obj,source_idx,distance_px
#4f5f83,0,42.379
#4f5f83,0,29.155
#4f5f83,0,27.785
#4f5f83,0,26.077
#4f5f83,0,16.125
#4f5f83,0,22.204
#4f5f83,0,8.944
#4f5f83,0,21.095
#4f5f83,0,21.213
#6a47ae,1,59.908
#6a47ae,1,73.389
#6a47ae,1,46.690
#6a47ae,1,59.481
#6a47ae,1,38.210
#6a47ae,1,47.434
#6a47ae,1,30.871
#6a47ae,1,34.132
#6a47ae,1,29.155
#6a47ae,1,26.077
#6a47ae,1,22.204
#6a47ae,1,21.095
#6a47ae,1,7.211
#6a47ae,1,28.425
#6a47ae,1,13.892
#a57fa3,2,14.036
#a57fa3,2,6.708
#a57fa3,2,7.211
#dcd284,3,28.160
#dcd284,3,16.125
#dcd284,3,8.944
#dcd284,3,20.125

AVG_DISTANCE_PX,27.563
