source_obj,source_idx,distance_px
#4f5f83,0,7.071
#4f5f83,0,16.125
#4f5f83,0,15.000
#4f5f83,0,5.831
#4f5f83,0,8.062
#4f5f83,0,6.325
#4f5f83,0,10.000
#4f5f83,0,15.000
#4f5f83,0,16.125
#4f5f83,0,25.495
#4f5f83,0,33.015
#4f5f83,0,43.278
#6a47ae,1,7.071
#6a47ae,1,7.211
#6a47ae,1,5.831
#6a47ae,1,15.000
#6a47ae,1,6.325
#9ec3b5,2,14.318
#9ec3b5,2,12.530
#9ec3b5,2,3.000
#9ec3b5,2,8.944
#9ec3b5,2,3.606
#9ec3b5,2,14.560
#9ec3b5,2,2.236
#9ec3b5,2,16.125
#9ec3b5,2,15.000
#9ec3b5,2,1.414
#9ec3b5,2,6.083
#a57fa3,3,17.029
#a57fa3,3,8.944
#a57fa3,3,14.560
#a57fa3,3,8.062
#a57fa3,3,17.889
#a57fa3,3,10.000
#dcd284,4,3.606
#dcd284,4,2.236
#dcd284,4,1.414

AVG_DISTANCE_PX,11.468
