source_obj,source_idx,distance_px
#4f5f83,0,59.008
#6a47ae,1,1.414
#6a47ae,1,2.828
#6a47ae,1,2.236
#6a47ae,1,2.828
#6a47ae,1,2.828
#6a47ae,1,7.810
#6a47ae,1,12.042
#9ec3b5,2,14.765
#9ec3b5,2,4.243
#9ec3b5,2,7.616
#9ec3b5,2,6.325
#9ec3b5,2,6.325
#9ec3b5,2,1.414
#9ec3b5,2,2.236
#9ec3b5,2,2.828
#9ec3b5,2,2.828
#a57fa3,3,15.133
#a57fa3,3,4.123
#a57fa3,3,9.487
#a57fa3,3,5.831
#a57fa3,3,7.616
#a57fa3,3,8.062
#a57fa3,3,12.042
#a57fa3,3,21.633
#dcd284,4,4.243
#dcd284,4,14.765
#dcd284,4,7.810
#dcd284,4,16.155

AVG_DISTANCE_PX,9.189
