source_obj,source_idx,distance_px
#4f5f83,0,1.000
#4f5f83,0,1.000
#4f5f83,0,1.000
#4f5f83,0,9.220
#4f5f83,0,74.243
#4f5f83,0,24.187
#4f5f83,0,40.000
#4f5f83,0,23.537
#4f5f83,0,31.064
#4f5f83,0,52.326
#4f5f83,0,65.000
#4f5f83,0,25.495
#4f5f83,0,29.155
#4f5f83,0,30.232
#4f5f83,0,38.013
#4f5f83,0,42.190
#4f5f83,0,52.326
#6a47ae,1,3.000
#6a47ae,1,7.280
#6a47ae,1,3.162
#9ec3b5,2,105.991
#9ec3b5,2,17.263
#9ec3b5,2,8.602
#9ec3b5,2,11.402
#9ec3b5,2,17.000
#9ec3b5,2,21.378
#9ec3b5,2,23.537
#9ec3b5,2,4.243
#9ec3b5,2,3.606
#9ec3b5,2,4.243
#9ec3b5,2,7.810
#9ec3b5,2,4.123
#9ec3b5,2,3.162
#a57fa3,3,11.180
#a57fa3,3,8.602
#a57fa3,3,11.402
#a57fa3,3,1.000
#a57fa3,3,1.000
#a57fa3,3,9.220
#dcd284,4,4.243
#dcd284,4,5.000
#dcd284,4,17.464
#dcd284,4,4.243
#dcd284,4,3.606
#dcd284,4,7.810

AVG_DISTANCE_PX,19.346
