source_obj,source_idx,distance_px
#4f5f83,0,72.062
#4f5f83,0,62.650
#4f5f83,0,53.141
#4f5f83,0,43.681
#4f5f83,0,8.062
#4f5f83,0,17.205
#4f5f83,0,38.601
#4f5f83,0,6.325
#4f5f83,0,12.000
#4f5f83,0,14.000
#4f5f83,0,16.000
#4f5f83,0,19.105
#4f5f83,0,18.248
#4f5f83,0,22.204
#4f5f83,0,26.476
#4f5f83,0,36.674
#9ec3b5,1,2.236
#9ec3b5,1,33.242
#9ec3b5,1,8.602
#9ec3b5,1,47.011
#9ec3b5,1,12.000
#9ec3b5,1,14.000
#9ec3b5,1,16.000
#9ec3b5,1,17.205
#9ec3b5,1,18.248
#9ec3b5,1,20.000
#9ec3b5,1,24.042
#9ec3b5,1,4.123
#9ec3b5,1,4.123
#9ec3b5,1,3.000
#9ec3b5,1,3.000
#a57fa3,2,8.062
#a57fa3,2,2.236
#a57fa3,2,6.325
#a57fa3,2,8.602
#dcd284,3,3.000
#dcd284,3,3.000

AVG_DISTANCE_PX,19.581
