source_obj,source_idx,distance_px
#4f5f83,0,45.177
#4f5f83,0,34.176
#4f5f83,0,30.083
#4f5f83,0,25.632
#4f5f83,0,23.409
#4f5f83,0,21.840
#4f5f83,0,21.587
#4f5f83,0,18.682
#4f5f83,0,27.659
#4f5f83,0,14.142
#4f5f83,0,33.242
#4f5f83,0,7.616
#4f5f83,0,38.601
#4f5f83,0,49.163
#4f5f83,0,62.129
#4f5f83,0,73.027
#9ec3b5,1,33.971
#9ec3b5,1,29.069
#9ec3b5,1,25.632
#9ec3b5,1,23.409
#9ec3b5,1,21.840
#9ec3b5,1,21.587
#9ec3b5,1,18.682
#9ec3b5,1,51.740
#9ec3b5,1,38.949
#9ec3b5,1,16.031
#9ec3b5,1,25.942
#9ec3b5,1,12.806
#a57fa3,2,7.071
#a57fa3,2,8.246
#a57fa3,2,12.806
#a57fa3,2,17.117

AVG_DISTANCE_PX,27.846
