source_obj,source_idx,distance_px
#4f5f83,0,45.651
#4f5f83,0,34.655
#4f5f83,0,29.155
#4f5f83,0,19.925
#4f5f83,0,9.434
#4f5f83,0,12.042
#4f5f83,0,16.155
#4f5f83,0,2.828
#4f5f83,0,15.524
#4f5f83,0,42.190
#4f5f83,0,47.170
#4f5f83,0,53.488
#4f5f83,0,64.498
#4f5f83,0,77.201
#4f5f83,0,87.693
#6a47ae,1,2.828
#6a47ae,1,4.472
#6a47ae,1,4.243
#6a47ae,1,9.434
#9ec3b5,2,1.000
#9ec3b5,2,5.385
#9ec3b5,2,5.000
#9ec3b5,2,6.083
#9ec3b5,2,2.828
#9ec3b5,2,4.243
#9ec3b5,2,3.162
#9ec3b5,2,1.000
#9ec3b5,2,12.083
#a57fa3,3,1.000
#a57fa3,3,16.125
#a57fa3,3,4.123
#a57fa3,3,29.000
#a57fa3,3,2.828
#a57fa3,3,13.601
#a57fa3,3,25.495
#dcd284,4,1.000
#dcd284,4,6.708
#dcd284,4,6.403

AVG_DISTANCE_PX,19.096
