source_obj,source_idx,distance_px
#4f5f83,0,39.661
#4f5f83,0,31.780
#4f5f83,0,27.659
#4f5f83,0,23.537
#4f5f83,0,22.561
#4f5f83,0,18.682
#4f5f83,0,59.405
#4f5f83,0,67.941
#4f5f83,0,36.014
#4f5f83,0,46.755
#4f5f83,0,38.079
#4f5f83,0,18.439
#4f5f83,0,15.133
#4f5f83,0,11.000
#4f5f83,0,7.211
#4f5f83,0,12.530
#9ec3b5,1,32.558
#9ec3b5,1,31.780
#9ec3b5,1,27.659
#9ec3b5,1,10.050
#9ec3b5,1,2.236
#9ec3b5,1,2.828
#9ec3b5,1,23.537
#9ec3b5,1,1.000
#9ec3b5,1,1.414
#9ec3b5,1,6.708
#9ec3b5,1,22.561
#9ec3b5,1,34.928
#9ec3b5,1,18.682
#9ec3b5,1,18.439
#9ec3b5,1,15.133
#9ec3b5,1,17.117
#9ec3b5,1,11.045
#9ec3b5,1,17.464
#9ec3b5,1,30.067
#9ec3b5,1,45.100
#9ec3b5,1,59.540
#9ec3b5,1,88.023
#9ec3b5,1,102.240
#a57fa3,2,11.000
#a57fa3,2,12.042
#a57fa3,2,21.932
#a57fa3,2,7.211
#a57fa3,2,11.045
#a57fa3,2,14.318
#a57fa3,2,27.803
#dcd284,3,2.236
#dcd284,3,2.828
#dcd284,3,1.000
#dcd284,3,1.414

AVG_DISTANCE_PX,24.187
