source_obj,source_idx,distance_px
#4f5f83,0,14.318
#4f5f83,0,4.243
#4f5f83,0,23.770
#4f5f83,0,25.962
#4f5f83,0,8.000
#4f5f83,0,21.541
#4f5f83,0,20.125
#4f5f83,0,22.847
#4f5f83,0,29.155
#4f5f83,0,32.000
#4f5f83,0,34.928
#4f5f83,0,40.050
#4f5f83,0,40.853
#4f5f83,0,51.788
#4f5f83,0,50.249
#4f5f83,0,66.408
#4f5f83,0,74.041
#6a47ae,1,5.000
#6a47ae,1,2.000
#6a47ae,1,1.000
#6a47ae,1,1.000
#6a47ae,1,1.000
#6a47ae,1,1.414
#9ec3b5,2,101.863
#9ec3b5,2,87.115
#9ec3b5,2,71.840
#9ec3b5,2,57.428
#9ec3b5,2,5.000
#9ec3b5,2,12.042
#9ec3b5,2,13.892
#9ec3b5,2,19.105
#9ec3b5,2,6.325
#9ec3b5,2,23.601
#9ec3b5,2,12.207
#9ec3b5,2,1.000
#9ec3b5,2,1.000
#9ec3b5,2,1.000
#a57fa3,3,19.416
#a57fa3,3,12.042
#a57fa3,3,14.213
#a57fa3,3,4.243
#a57fa3,3,8.000
#dcd284,4,5.000
#dcd284,4,6.083
#dcd284,4,5.385
#dcd284,4,5.385

AVG_DISTANCE_PX,23.149
