source_obj,source_idx,distance_px
#4f5f83,0,68.469
#4f5f83,0,64.195
#4f5f83,0,56.009
#4f5f83,0,42.426
#4f5f83,0,34.482
#4f5f83,0,1.000
#4f5f83,0,1.000
#4f5f83,0,1.414
#4f5f83,0,2.236
#4f5f83,0,4.123
#4f5f83,0,18.601
#4f5f83,0,30.414
#4f5f83,0,44.011
#6a47ae,1,1.414
#6a47ae,1,1.000
#6a47ae,1,2.236
#6a47ae,1,1.414
#6a47ae,1,2.236
#9ec3b5,2,2.000
#9ec3b5,2,1.414
#9ec3b5,2,2.000
#9ec3b5,2,70.007
#9ec3b5,2,2.000
#9ec3b5,2,129.692
#9ec3b5,2,1.000
#9ec3b5,2,1.000
#9ec3b5,2,1.414
#9ec3b5,2,2.236
#9ec3b5,2,4.123
#9ec3b5,2,1.000
#9ec3b5,2,2.236
#9ec3b5,2,1.414
#9ec3b5,2,2.236
#9ec3b5,2,1.000
#9ec3b5,2,1.000
#9ec3b5,2,2.236
#9ec3b5,2,2.236
#9ec3b5,2,3.162
#9ec3b5,2,5.385
#a57fa3,3,1.414
#a57fa3,3,5.000
#a57fa3,3,2.000
#a57fa3,3,2.000
#a57fa3,3,3.606
#a57fa3,3,5.099
#dcd284,4,1.000
#dcd284,4,1.000
#dcd284,4,1.000
#dcd284,4,2.236
#dcd284,4,2.236
#dcd284,4,3.162

AVG_DISTANCE_PX,12.652
