source_obj,source_idx,distance_px
#4f5f83,0,75.961
#4f5f83,0,75.769
#4f5f83,0,3.162
#4f5f83,0,66.611
#4f5f83,0,52.173
#4f5f83,0,2.828
#4f5f83,0,4.243
#4f5f83,0,38.626
#4f5f83,0,28.320
#4f5f83,0,16.763
#4f5f83,0,20.224
#4f5f83,0,28.160
#4f5f83,0,51.039
#6a47ae,1,4.472
#6a47ae,1,5.385
#9ec3b5,2,22.561
#9ec3b5,2,8.485
#9ec3b5,2,2.236
#9ec3b5,2,2.236
#9ec3b5,2,3.162
#9ec3b5,2,10.770
#9ec3b5,2,15.620
#9ec3b5,2,19.416
#9ec3b5,2,3.162
#9ec3b5,2,2.000
#9ec3b5,2,2.000
#9ec3b5,2,2.236
#9ec3b5,2,1.414
#a57fa3,3,8.485
#a57fa3,3,2.236
#a57fa3,3,2.236
#a57fa3,3,3.162
#a57fa3,3,3.162
#a57fa3,3,4.243
#a57fa3,3,2.828
#a57fa3,3,5.831
#dcd284,4,3.162
#dcd284,4,2.000
#dcd284,4,2.000
#dcd284,4,2.236
#dcd284,4,1.414
#dcd284,4,5.385
#dcd284,4,10.000
#dcd284,4,23.770
#dcd284,4,22.361

AVG_DISTANCE_PX,14.968
