source_obj,source_idx,distance_px
#4f5f83,0,69.642
#4f5f83,0,60.017
#4f5f83,0,49.010
#4f5f83,0,39.013
#4f5f83,0,35.468
#4f5f83,0,14.142
#4f5f83,0,6.000
#4f5f83,0,9.055
#4f5f83,0,15.000
#4f5f83,0,17.205
#4f5f83,0,18.439
#4f5f83,0,22.023
#4f5f83,0,23.022
#4f5f83,0,28.018
#4f5f83,0,31.305
#4f5f83,0,38.949
#9ec3b5,1,11.402
#9ec3b5,1,12.083
#9ec3b5,1,17.117
#9ec3b5,1,22.804
#9ec3b5,1,36.715
#9ec3b5,1,15.000
#9ec3b5,1,52.431
#9ec3b5,1,17.205
#9ec3b5,1,18.439
#9ec3b5,1,22.023
#9ec3b5,1,97.944
#9ec3b5,1,23.022
#9ec3b5,1,112.894
#9ec3b5,1,28.018
#9ec3b5,1,32.016
#9ec3b5,1,5.000
#9ec3b5,1,5.657
#9ec3b5,1,5.831
#a57fa3,2,19.235
#a57fa3,2,6.000
#a57fa3,2,9.055
#a57fa3,2,11.662
#a57fa3,2,11.402
#dcd284,3,5.000
#dcd284,3,5.385
#dcd284,3,5.657

AVG_DISTANCE_PX,25.841
