source_obj,source_idx,distance_px
#4f5f83,0,1.414
#4f5f83,0,7.211
#9ec3b5,1,13.601
#9ec3b5,1,6.325
#9ec3b5,1,14.560
#9ec3b5,1,11.180
#9ec3b5,1,8.062
#9ec3b5,1,1.414
#9ec3b5,1,6.403
#9ec3b5,1,3.606
#9ec3b5,1,1.414
#9ec3b5,1,2.236
#9ec3b5,1,2.236
#9ec3b5,1,3.162
#9ec3b5,1,2.236
#9ec3b5,1,2.000
#a57fa3,2,6.325
#a57fa3,2,3.606
#dcd284,3,6.403
#dcd284,3,8.062
#dcd284,3,3.606
#dcd284,3,6.708
#dcd284,3,11.180
#dcd284,3,1.414
#dcd284,3,14.560
#dcd284,3,2.236
#dcd284,3,2.236
#dcd284,3,3.162
#dcd284,3,2.000
#dcd284,3,2.236
#dcd284,3,7.280

AVG_DISTANCE_PX,5.422
