source_obj,source_idx,distance_px
#4f5f83,0,49.244
#4f5f83,0,38.419
#4f5f83,0,31.145
#4f5f83,0,27.000
#4f5f83,0,14.765
#4f5f83,0,18.358
#4f5f83,0,6.403
#4f5f83,0,4.472
#4f5f83,0,66.121
#4f5f83,0,77.279
#4f5f83,0,86.649
#6a47ae,1,4.243
#6a47ae,1,3.606
#6a47ae,1,2.828
#6a47ae,1,7.810
#9ec3b5,2,1.414
#9ec3b5,2,2.236
#9ec3b5,2,2.000
#9ec3b5,2,3.606
#9ec3b5,2,1.000
#9ec3b5,2,2.828
#9ec3b5,2,16.763
#a57fa3,3,9.000
#a57fa3,3,3.606
#a57fa3,3,13.892
#dcd284,4,1.414
#dcd284,4,2.236
#dcd284,4,5.831
#dcd284,4,2.000
#dcd284,4,3.606
#dcd284,4,1.000
#dcd284,4,3.162
#dcd284,4,6.083

AVG_DISTANCE_PX,15.758
