source_obj,source_idx,distance_px
#4f5f83,0,5.831
#4f5f83,0,7.280
#4f5f83,0,7.280
#4f5f83,0,4.243
#4f5f83,0,8.062
#9ec3b5,1,5.385
#9ec3b5,1,4.243
#9ec3b5,1,5.385
#9ec3b5,1,1.414
#9ec3b5,1,2.000
#9ec3b5,1,2.000
#9ec3b5,1,1.000
#9ec3b5,1,2.236
#9ec3b5,1,2.236
#9ec3b5,1,2.000
#9ec3b5,1,2.000
#9ec3b5,1,1.000
#9ec3b5,1,2.000
#9ec3b5,1,1.000
#9ec3b5,1,1.000
#9ec3b5,1,1.414
#a57fa3,2,7.280
#a57fa3,2,8.246
#a57fa3,2,20.616
#a57fa3,2,4.123
#a57fa3,2,7.280
#a57fa3,2,19.105
#dcd284,3,1.414
#dcd284,3,2.000
#dcd284,3,2.000
#dcd284,3,1.000
#dcd284,3,2.236
#dcd284,3,2.000
#dcd284,3,2.236
#dcd284,3,2.000
#dcd284,3,1.000
#dcd284,3,2.000
#dcd284,3,1.000
#dcd284,3,1.000
#dcd284,3,1.414

AVG_DISTANCE_PX,3.924
