source_obj,source_idx,distance_px
#4f5f83,0,14.765
#4f5f83,0,15.232
#4f5f83,0,5.000
#4f5f83,0,16.553
#4f5f83,0,18.385
#4f5f83,0,8.944
#4f5f83,0,20.125
#4f5f83,0,20.591
#4f5f83,0,33.615
#4f5f83,0,24.187
#4f5f83,0,36.770
#4f5f83,0,28.302
#4f5f83,0,44.045
#4f5f83,0,34.000
#4f5f83,0,56.569
#4f5f83,0,45.607
#4f5f83,0,65.123
#9ec3b5,1,120.283
#9ec3b5,1,105.361
#9ec3b5,1,62.426
#9ec3b5,1,5.385
#9ec3b5,1,5.385
#9ec3b5,1,19.235
#9ec3b5,1,4.243
#9ec3b5,1,11.705
#9ec3b5,1,14.765
#9ec3b5,1,9.220
#9ec3b5,1,16.553
#9ec3b5,1,18.385
#9ec3b5,1,20.125
#9ec3b5,1,20.591
#9ec3b5,1,24.187
#9ec3b5,1,28.178
#a57fa3,2,11.705
#a57fa3,2,13.038
#a57fa3,2,5.000
#a57fa3,2,8.944
#dcd284,3,6.708
#dcd284,3,4.243

AVG_DISTANCE_PX,26.243
