source_obj,source_idx,distance_px
#4f5f83,0,3.606
#4f5f83,0,8.062
#4f5f83,0,5.000
#4f5f83,0,74.041
#4f5f83,0,23.022
#4f5f83,0,14.318
#4f5f83,0,64.405
#4f5f83,0,29.155
#4f5f83,0,27.459
#4f5f83,0,33.422
#4f5f83,0,41.049
#4f5f83,0,52.345
#6a47ae,1,1.000
#6a47ae,1,1.000
#6a47ae,1,6.708
#6a47ae,1,1.414
#6a47ae,1,1.414
#6a47ae,1,1.000
#9ec3b5,2,21.095
#9ec3b5,2,6.325
#9ec3b5,2,8.000
#9ec3b5,2,11.180
#9ec3b5,2,19.416
#9ec3b5,2,25.020
#9ec3b5,2,11.180
#9ec3b5,2,3.000
#9ec3b5,2,3.000
#9ec3b5,2,3.000
#9ec3b5,2,1.000
#9ec3b5,2,3.000
#9ec3b5,2,6.708
#9ec3b5,2,1.000
#9ec3b5,2,1.414
#9ec3b5,2,1.414
#9ec3b5,2,1.000
#a57fa3,3,6.325
#a57fa3,3,8.000
#a57fa3,3,11.180
#a57fa3,3,8.062
#a57fa3,3,3.606
#dcd284,4,3.000
#dcd284,4,4.000
#dcd284,4,17.000
#dcd284,4,7.071

AVG_DISTANCE_PX,13.259
