source_obj,source_idx,distance_px
#4f5f83,0,38.833
#4f5f83,0,27.295
#4f5f83,0,21.932
#4f5f83,0,18.385
#4f5f83,0,2.236
#4f5f83,0,3.162
#4f5f83,0,7.280
#4f5f83,0,2.000
#4f5f83,0,3.162
#4f5f83,0,3.162
#4f5f83,0,3.162
#9ec3b5,1,3.000
#9ec3b5,1,2.236
#9ec3b5,1,3.162
#9ec3b5,1,2.000
#9ec3b5,1,3.162
#9ec3b5,1,3.000
#9ec3b5,1,3.162
#9ec3b5,1,3.162
#9ec3b5,1,3.606
#9ec3b5,1,9.849
#9ec3b5,1,16.279
#9ec3b5,1,30.017
#9ec3b5,1,58.822
#9ec3b5,1,72.560
#9ec3b5,1,87.207
#a57fa3,2,37.014
#a57fa3,2,41.617
#a57fa3,2,25.060
#a57fa3,2,18.385
#a57fa3,2,7.280
#a57fa3,2,5.000
#a57fa3,2,9.849

AVG_DISTANCE_PX,17.456
