source_obj,source_idx,distance_px
#4f5f83,0,22.825
#4f5f83,0,16.492
#4f5f83,0,12.649
#4f5f83,0,6.000
#4f5f83,0,6.000
#4f5f83,0,10.440
#4f5f83,0,6.000
#4f5f83,0,1.414
#9ec3b5,1,4.000
#9ec3b5,1,5.099
#9ec3b5,1,8.000
#9ec3b5,1,1.414
#9ec3b5,1,7.616
#9ec3b5,1,10.630
#9ec3b5,1,23.707
#9ec3b5,1,36.770
#9ec3b5,1,64.008
#9ec3b5,1,3.162
#9ec3b5,1,2.236
#9ec3b5,1,3.606
#9ec3b5,1,2.000
#9ec3b5,1,1.414
#a57fa3,2,33.601
#a57fa3,2,20.591
#a57fa3,2,12.649
#a57fa3,2,8.602
#a57fa3,2,7.616
#a57fa3,2,7.616
#a57fa3,2,19.235
#dcd284,3,3.162
#dcd284,3,4.472
#dcd284,3,2.236
#dcd284,3,3.606
#dcd284,3,2.000
#dcd284,3,1.414

AVG_DISTANCE_PX,10.922
