source_obj,source_idx,distance_px
#4f5f83,0,25.000
#4f5f83,0,12.166
#4f5f83,0,5.385
#4f5f83,0,22.091
#4f5f83,0,23.022
#4f5f83,0,9.220
#4f5f83,0,3.606
#4f5f83,0,12.530
#4f5f83,0,6.708
#4f5f83,0,3.162
#4f5f83,0,2.236
#4f5f83,0,18.248
#4f5f83,0,3.606
#4f5f83,0,2.236
#6a47ae,1,3.162
#6a47ae,1,3.606
#6a47ae,1,6.403
#6a47ae,1,7.280
#6a47ae,1,3.606
#6a47ae,1,1.414
#6a47ae,1,8.944
#9ec3b5,2,10.000
#9ec3b5,2,10.630
#9ec3b5,2,6.083
#9ec3b5,2,16.553
#9ec3b5,2,5.099
#9ec3b5,2,5.000
#9ec3b5,2,6.083
#9ec3b5,2,7.280
#9ec3b5,2,9.220
#9ec3b5,2,6.403
#9ec3b5,2,3.606
#9ec3b5,2,3.162
#a57fa3,3,16.763
#a57fa3,3,10.000
#a57fa3,3,11.705
#a57fa3,3,3.606
#a57fa3,3,3.162
#a57fa3,3,2.236
#a57fa3,3,3.606
#a57fa3,3,2.236
#dcd284,4,5.099
#dcd284,4,5.000
#dcd284,4,6.083
#dcd284,4,6.325
#dcd284,4,6.083
#dcd284,4,7.280
#dcd284,4,1.414
#dcd284,4,8.944

AVG_DISTANCE_PX,7.598
