source_obj,source_idx,distance_px
#4f5f83,0,21.587
#4f5f83,0,12.083
#4f5f83,0,7.211
#4f5f83,0,2.236
#4f5f83,0,1.414
#4f5f83,0,2.828
#4f5f83,0,3.000
#4f5f83,0,7.071
#9ec3b5,1,9.434
#9ec3b5,1,7.211
#9ec3b5,1,7.211
#9ec3b5,1,11.402
#9ec3b5,1,1.414
#9ec3b5,1,1.000
#9ec3b5,1,1.000
#9ec3b5,1,1.000
#9ec3b5,1,1.000
#9ec3b5,1,5.831
#a57fa3,2,2.236
#a57fa3,2,1.414
#a57fa3,2,2.828
#a57fa3,2,21.541
#a57fa3,2,3.000
#a57fa3,2,15.811
#a57fa3,2,26.249
#dcd284,3,2.236
#dcd284,3,1.414
#dcd284,3,1.000
#dcd284,3,1.000
#dcd284,3,1.000
#dcd284,3,1.000
#dcd284,3,5.831

AVG_DISTANCE_PX,5.953
