source_obj,source_idx,distance_px
#4f5f83,0,36.401
#4f5f83,0,37.802
#4f5f83,0,30.610
#4f5f83,0,27.659
#4f5f83,0,21.932
#4f5f83,0,22.361
#4f5f83,0,19.235
#4f5f83,0,19.105
#4f5f83,0,17.029
#4f5f83,0,10.817
#4f5f83,0,3.606
#4f5f83,0,14.866
#4f5f83,0,34.132
#4f5f83,0,39.205
#4f5f83,0,46.098
#4f5f83,0,57.428
#4f5f83,0,67.882
#9ec3b5,1,19.105
#9ec3b5,1,6.083
#9ec3b5,1,1.000
#9ec3b5,1,2.236
#9ec3b5,1,2.236
#9ec3b5,1,2.828
#9ec3b5,1,84.900
#9ec3b5,1,70.612
#9ec3b5,1,28.443
#9ec3b5,1,56.569
#9ec3b5,1,23.195
#9ec3b5,1,21.932
#9ec3b5,1,42.000
#9ec3b5,1,19.235
#9ec3b5,1,19.105
#9ec3b5,1,17.029
#9ec3b5,1,18.028
#9ec3b5,1,15.133
#9ec3b5,1,11.402
#a57fa3,2,11.402
#a57fa3,2,11.662
#a57fa3,2,21.260
#a57fa3,2,10.817
#a57fa3,2,3.606
#a57fa3,2,14.866
#dcd284,3,1.000
#dcd284,3,2.236
#dcd284,3,2.236
#dcd284,3,2.828

AVG_DISTANCE_PX,22.808
